feature,coef,abs_coef
cat__Station_Goshala Bankat,-14.039623723823752,14.039623723823752
cat__Station_Goshala Basela,-3.806470568874829,3.806470568874829
cat__Station_Goshala Bhadehdu,-13.032157569869696,13.032157569869696
cat__Station_Goshala Churaha,-20.223568416335638,20.223568416335638
cat__Station_Goshala Ghuri,-4.521429008487075,4.521429008487075
cat__Station_Goshala Pachhahan,-13.160556878668785,13.160556878668785
cat__Station_Goyla,-6.0960641789985175,6.0960641789985175
"cat__Station_Gram Panchayat Sachiwalaya / D.B.R. Ambedkar Samudayak Bhawan, Durkhuroo",-12.693299737232877,12.693299737232877
cat__Station_Grampunchayat Sachiwalaya Deori,1.8400525284812375,1.8400525284812375
cat__Station_Gyana Majra Pr. Vid.,0.6944296103179113,0.6944296103179113
cat__Station_HARNHAPUR PRATHAMIK VIDYALAYA,-5.17612729843313,5.17612729843313
cat__Station_HOLAGARH PURV MADHYAMIK VIDYALAYA,2.986007578097997,2.986007578097997
cat__Station_Halwana,-0.31272544618934717,0.31272544618934717
cat__Station_Hamirpur Kurara Damar,-2.9451604450081277,2.9451604450081277
cat__Station_Hamirpur Kurara Jalokhar,-3.9418996929871355,3.9418996929871355
cat__Station_Hamirpur Sarila Purani,-16.707054187438985,16.707054187438985
cat__Station_Hamirpur Sumerpur Etara,-5.255590996424758,5.255590996424758
cat__Station_Hamirpur Sumerpur Para,-13.602247333233208,13.602247333233208
cat__Station_Hathras Hathras Hathras,1.901925086528081,1.901925086528081
cat__Station_Hathras Mursan Chandapa Sandh,-8.63080900847649,8.63080900847649
cat__Station_High School & Inter College Boroda,26.05965882124002,26.05965882124002
"cat__Station_ITI Campus, ITI Campus Area",-1.4284919209680425,1.4284919209680425
cat__Station_Inter Collage Khampar,0.11559366208044253,0.11559366208044253
"cat__Station_Inter College, Sarv Hitakari",-4.448420110953208,4.448420110953208
"cat__Station_Inter college, Tindwara",-6.974666849587493,6.974666849587493
"cat__Station_Irrigation Department, Amawar",0.023795239847800076,0.023795239847800076
cat__Station_Jamalpur_2,19.752242855253314,19.752242855253314
"cat__Station_Janata Inter College, Lachheda",-1.2213351250709366,1.2213351250709366
cat__Station_Jauharpur,18.653089947272292,18.653089947272292
cat__Station_Jaunpur Dobhi Bagerwa,-2.24860214085858,2.24860214085858
cat__Station_Jaunpur Dobhi Bankati,-4.246054158838632,4.246054158838632
cat__Station_Jaunpur Dobhi Kachhawan,-4.044719778500195,4.044719778500195
cat__Station_Jaunpur Dobhi Kakarapar,1.968404960281049,1.968404960281049
cat__Station_Jaunpur Jalalpur Katuwani,0.25253554775871123,0.25253554775871123
cat__Station_Jaunpur Jalalpur Vanpurwa,-0.08771192503384384,0.08771192503384384
cat__Station_Jaunpur Jalalpur Vind,2.2269019748043775,2.2269019748043775
cat__Station_Jaunpur Kerakat  Kharg Senpur,1.7950999717424594,1.7950999717424594
cat__Station_Jaunpur Kerakat Barbaspur (Sohani),2.1695646925536494,2.1695646925536494
cat__Station_Jaunpur Kerakat Mahali,0.15538305203773461,0.15538305203773461
cat__Station_Jaunpur Kerakat Nihalapur,2.251915614644304,2.251915614644304
cat__Station_Jaunpur Rampur Kamaruddin,-2.2823295577942417,2.2823295577942417
cat__Station_Jaunpur Rampur Kaseru Nonara,1.8842878128043452,1.8842878128043452
cat__Station_Jaunpur Rampur Kathwatiya,-4.0834015539012825,4.0834015539012825
cat__Station_Jaunpur Rampur Sultanpur,3.4803525059120233,3.4803525059120233
"cat__Station_Jr. High School, Purwa Tarouha",13.03186863851829,13.03186863851829
cat__Station_KOSHAK IMAM PRATHMIK VIDYALAYA,2.6292353448247923,2.6292353448247923
cat__Station_Kamhariya_1,18.006553104452905,18.006553104452905
cat__Station_Khojapur,-3.209561278420665,3.209561278420665
cat__Station_Khursropur,2.0136897885032568,2.0136897885032568
cat__Station_Kukwa Khaas,17.734198504800588,17.734198504800588
cat__Station_Kusarma,20.210195413296788,20.210195413296788
cat__Station_Kushinagar Captanganj Captanganj,-0.9061565368151605,0.9061565368151605
cat__Station_Kushinagar Captanganj Senduriya Vishunpur,0.8612362607690898,0.8612362607690898
cat__Station_Kushinagar Dudhai Dudhai,-0.14505809135113168,0.14505809135113168
cat__Station_Kushinagar Dudhai Gorariya,-0.5858033878684523,0.5858033878684523
cat__Station_Kushinagar Dudhai Lala Chhapra,0.7755550740769763,0.7755550740769763
