station,district,n_windows,stride_rows,raw_rows,xgb_raw_rmse,xgb_stride_rmse,ridge_raw_rmse,ridge_stride_rmse,persist_raw_rmse,persist_stride_rmse,clim_raw_rmse,clim_stride_rmse
Banda Kamasin Tilowsa,BANDA,6,6,677,1.3650874022362343,0.9808018703588769,1.7796050504271772,1.4207673224115587,1.4254515039928082,1.0851237968248792,2.4744330501424145,2.5608806631378465
Banda Tindwari Bhindowra,BANDA,6,6,711,7.252115914335309,7.740706714148643,6.365360226360064,6.593777952566838,7.262261830428147,7.736783342031755,8.279507425279329,8.401569500863257
Bdo Office Campus Pipraich,GORAKHPUR,7,7,765,0.48771987760833213,0.5093657433131703,0.6610452800228673,0.7001149543547887,0.4284926988779985,0.4215308829434133,1.2224664053757788,1.2830077857996882
Block Deoria Campus Deoria Sadar,DEORIA,7,7,754,0.5049974400562246,0.6486286607806718,0.779501612703657,1.2802106484653273,0.5168009072850831,0.6722665039040592,0.7842764078506961,1.362169865075367
Block Development Office-Khekra-Shallow,BAGHPAT,7,7,835,0.41014694366370225,0.4392625308503362,1.1106259135941137,1.3206558777816437,0.335632615132188,0.3611973307379263,0.6861113788381388,0.714944522333643
"Block Office, Kurara",HAMIRPUR,6,6,719,1.3343886538213225,0.6609641314964545,1.2013504109480238,0.8239490947670596,1.5184247476012243,0.7876814577804779,1.6486275634442493,1.3869463769750323
"Block office, Gursarai",JHANSI,6,6,709,1.6094349200286313,0.715778366395412,1.4460607267793304,0.6395386576198734,1.8890096010440571,1.0381220341507957,1.202644216864987,0.6778909185935256
Chitrakoot Karvi Khoha,CHITRAKOOT,7,7,721,2.56870299035154,2.969877215218335,1.965232589198919,2.4176934252087734,2.607857692299155,3.1038212440369257,1.8807320831547776,2.3450789556871454
Chitrakoot Karvi Shivrampur,CHITRAKOOT,7,7,803,2.426346734138474,2.2708986491503294,2.682319154539649,2.515331911873086,2.3389717049806187,2.1436395402513027,3.0105440414248377,2.9981093654770348
Chitrakoot Manikpur Agarhudha,CHITRAKOOT,6,6,687,1.6263412720158317,0.543968165826244,1.7210242278158319,0.4403791370026955,1.6504945010035963,0.5398622348151636,1.326839252425552,1.0514084703614748
