station,district,anchor,date_from,age_days,anchor_valid,xgb_level,q05_level,q50_level,q95_level,change_30d_m,change_pooled_m,band_half_m,plausible,category
"Primary School, Purakalan, Talbehat, Lalitpur_1",LALITPUR,-4.074,2026-08-29 00:00:00,12,True,-3.8,-5.499,-4.002,-2.329,0.072,0.274,1.585,True,stable
Primary School Mohammadpur Gurjar,SAHARANPUR,-18.915,2026-09-05 00:00:00,5,True,-18.669,-20.348,-18.875,-16.115,0.04,0.246,2.117,True,stable
Primary School Masuri,GHAZIABAD,,2026-06-08 18:00:00,93,False,,,,,-0.053,-0.053,,False,unreliable
Mahoba Charkhari Kuaan,MAHOBA,-6.175,2026-09-04 12:00:00,5,True,-5.818,-7.605,-6.058,0.594,0.117,0.357,4.099,True,stable
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",SIDDHARTHNAGAR,,2026-09-05 00:00:00,5,False,,,,,-0.037,-0.037,,False,unreliable
Priamry School Mukasim,SONBHADRA,-0.412,2026-09-05 00:00:00,5,True,-0.394,-1.842,-0.483,0.445,-0.071,0.018,1.143,True,stable
"Primary School, Motiyari, Mahuaa, Banda_1",BANDA,-0.578,2026-08-29 00:00:00,12,True,-0.56,-2.024,-0.694,-0.058,-0.116,0.018,0.983,True,stable
"Swarg Dham, Hardua",JHANSI,-0.108,2026-09-05 00:00:00,5,True,-0.09,-1.554,-0.056,0.795,0.052,0.018,1.174,True,stable
Primary School Baijnathpur,GORAKHPUR,-5.3,2026-09-05 00:00:00,5,True,-5.026,-6.723,-5.237,-3.077,0.063,0.274,1.823,True,stable
"Uccha Prathmik Vidhyalaya, Simra",JHANSI,-9.856,2026-05-24 12:00:00,108,True,-10.092,-11.283,-9.991,-9.464,-0.135,-0.236,0.909,False,unreliable
Upper Primary School Lehra,ETAH,-2.445,2026-09-05 00:00:00,5,True,-2.308,-3.875,-2.424,-0.743,0.021,0.137,1.566,True,stable
Primary School Radnool Azizpur,BUDAUN,-6.546,2026-09-05 00:00:00,5,True,-6.285,-7.979,-6.522,-2.58,0.024,0.261,2.699,True,stable
primary school jalalpura,SAHARANPUR,-10.628,2026-04-02 12:00:00,160,True,-10.924,-12.062,-10.772,-9.489,-0.144,-0.296,1.286,False,unreliable
"Primary School, Pashu palan Vibhag Masuri",MEERUT,-16.775,2026-08-29 00:00:00,12,True,-16.529,-18.208,-16.734,-13.788,0.041,0.246,2.21,True,stable
