gwl_station,src_station,dist_km
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",Pathar Dewa,126.65210196844224
"Composite Uccha Prathmik Vidhyalaya, Paltadevi",Mahrajganj_1,127.27406824284536
Composite Upper Primary School Sajania,Atraulia,101.24262075960507
Composite Upper Primary School Sajania,Mahrajganj_1,110.21358198645031
Composite Upper Primary School Sajania,Pathar Dewa,113.55992621270072
DEOCHALI C.V. VIDYALAYA,Rasin Dam,98.29155883145218
DEOCHALI C.V. VIDYALAYA,Rangwa Dam (ARG+AWLR),98.29883240659647
DEOCHALI C.V. VIDYALAYA,Gunta Dam,118.42386572739503
Datt Naga_1,Daulla ARG,12.520598814452256
Datt Naga_1,Sarauli ARG,14.936559589710768
Datt Naga_1,Barut ARG,26.27649868936366
Deoria Bhaluwani Markna,Bhaluani,5.8948579790135005
Deoria Bhaluwani Markna,Bhatpar Rani_1,23.134940571826174
Deoria Bhaluwani Markna,Pathar Dewa,30.35800085611882
Deoria Bhatani Mishrauli Dichit,Bhatpar Rani_1,11.94589019106632
Deoria Bhatani Mishrauli Dichit,Bhaluani,19.008577865334892
Deoria Bhatani Mishrauli Dichit,Pathar Dewa,21.127540208716425
Deoria Bhatpar Rani Dharkwan,Bhatpar Rani_1,5.587741559782043
Deoria Bhatpar Rani Dharkwan,Bhaluani,24.39477770392736
Deoria Bhatpar Rani Dharkwan,Pathar Dewa,34.1769758590694
Deoria Salempur Manihari,Bhatpar Rani_1,13.326111386860353
Deoria Salempur Manihari,Bhaluani,14.298691332205335
Deoria Salempur Manihari,Pathar Dewa,28.647692081961573
Deoria Tarkulwa Tarkulwa,Pathar Dewa,5.41991900422454
Deoria Tarkulwa Tarkulwa,Bhaluani,31.28946269472438
Deoria Tarkulwa Tarkulwa,Bhatpar Rani_1,37.462346054733864
Devrar_1,Rasin Dam,26.337830448962293
Devrar_1,Rangwa Dam (ARG+AWLR),26.344600737264862
Devrar_1,Gunta Dam,72.04242831545723
Dhikauli,Khaprar Canal,9.215732978096936
Dhikauli,Parichha Dam,32.997576492966516
Dhikauli,Dongri_1,34.17759709454953
FAREDUPUR PRATHMIK VIDYALAYA,Gunta Dam,67.16796335853195
FAREDUPUR PRATHMIK VIDYALAYA,Rangwa Dam (ARG+AWLR),104.55474690722527
FAREDUPUR PRATHMIK VIDYALAYA,Rasin Dam,104.5550645609682
Fugana_1,RAMALA ARG,15.496681166604715
Fugana_1,Lalukhedi ARG,16.621787210798363
Fugana_1,Barut ARG,27.12902849284257
GOVINDPUR BILARI PRATHMIK VIDYALAYA,Rasin Dam,93.92766221385929
GOVINDPUR BILARI PRATHMIK VIDYALAYA,Rangwa Dam (ARG+AWLR),93.93497493833699
GOVINDPUR BILARI PRATHMIK VIDYALAYA,Gunta Dam,115.02925338081798
Gadhela Panchayat Bhawan,Lakheri Dam ARG+AWLR,95.65859368861405
Gadhela Panchayat Bhawan,Pathari Dam,98.10757103125651
Gadhela Panchayat Bhawan,Lahchura ARG + D/S,101.67686530457433
Gloragundera/Gewara,Dhukawan ARG + D/S,20.32079092119269
Gloragundera/Gewara,Dongri_1,25.850565401982095
Gloragundera/Gewara,Khaprar Canal,29.882373551767774
Gorakhpur Barahalganj Bhatpar (Saukhor),Bhaluani,27.69983178904453
Gorakhpur Barahalganj Bhatpar (Saukhor),Mahrajganj_1,38.2571811935853
Gorakhpur Barahalganj Bhatpar (Saukhor),Pathar Dewa,50.49065282733978
Gorakhpur Barahalganj Ojhauli,Bhaluani,29.65724834369744
Gorakhpur Barahalganj Ojhauli,Mahrajganj_1,36.675995703692664
Gorakhpur Barahalganj Ojhauli,Pathar Dewa,53.93181034126627
Gorakhpur Belghat Belghat,Mahrajganj_1,19.84780164318594
Gorakhpur Belghat Belghat,Atraulia,25.709547184275177
Gorakhpur Belghat Belghat,Bhaluani,59.896279947516234
Gorakhpur Belghat Murarpur,Mahrajganj_1,22.827802517273312
Gorakhpur Belghat Murarpur,Atraulia,34.384008827240315
Gorakhpur Belghat Murarpur,Bhaluani,50.096643650859306
Gorakhpur Chargaon Beniganj,Pathar Dewa,57.91545084495921
Gorakhpur Chargaon Beniganj,Bhaluani,63.71706996457164
Gorakhpur Chargaon Beniganj,Mahrajganj_1,72.09976208658051
Gorakhpur Gagaha Gagaha,Bhaluani,33.40445690042175
Gorakhpur Gagaha Gagaha,Mahrajganj_1,38.63883255181392
Gorakhpur Gagaha Gagaha,Pathar Dewa,49.345544807004586
Gorakhpur Gola Dhakwarchak,Mahrajganj_1,29.05346807963582
Gorakhpur Gola Dhakwarchak,Bhaluani,40.789141237383646
Gorakhpur Gola Dhakwarchak,Atraulia,43.24632229773695
Gorakhpur Gola Gopalpur Patham,Mahrajganj_1,24.228322682854323
