Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
"Primary School, Chiplatha",JHANSI,Jhansi,-,25.354984,78.764937,9,838,2026-01-01 06:00:00,2026-09-05 18:00:00,True
"Primary School, Dagarpur Tigadi",BAGHPAT,-,-,28.811386,77.322459,8,919,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Dera Devra bujurg",JHANSI,Jhansi,-,25.744136,79.156663,8,881,2026-01-01 00:00:00,2026-08-26 06:00:00,True
"Primary School, Dewari",JALAUN,-,-,26.105777,79.289254,8,919,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Dhanaura",JHANSI,Jhansi,-,25.726924,79.289829,8,856,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Dhanaura Tikari",BAGHPAT,-,-,29.217309,77.451665,9,931,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Dhankharpur",SIDDHARTHNAGAR,-,-,27.159064,82.579381,9,810,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Dhikana",BAGHPAT,-,-,29.08345,77.218858,9,802,2026-01-01 00:00:00,2026-09-01 00:00:00,True
"Primary School, Evani",JHANSI,Jhansi,-,25.43777,79.229519,9,844,2026-01-01 00:00:00,2026-09-04 00:00:00,True
"Primary School, Gaidaira",LALITPUR,-,-,24.877889,78.607136,8,704,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Garher",JALAUN,-,-,26.017751,79.382879,9,828,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Gauripur Javahar Nagar",BAGHPAT,-,-,28.991657,77.222013,9,833,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Gotaka",MEERUT,-,-,29.158535,77.518594,9,768,2026-01-01 06:00:00,2026-09-05 18:00:00,True
"Primary School, Gursarai tahrauli tahshil",JHANSI,Jhansi,-,25.533412,78.986807,8,918,2026-01-01 00:00:00,2026-08-29 00:00:00,True
"Primary School, Jhaaro Kalan",SONBHADRA,-,-,24.1816022,83.1503771,9,813,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Jogehthi",MEERUT,-,-,29.047064,77.642502,9,862,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Jogiya Khera",MUZAFFARNAGAR,-,-,29.294358,77.382058,9,898,2026-01-01 06:00:00,2026-09-05 06:00:00,True
"Primary School, Johadi",BAGHPAT,-,-,29.103029,77.340707,9,854,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Kailgwan",LALITPUR,-,-,24.841849,78.760632,9,850,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Kakadipur",BAGHPAT,-,-,29.253637,77.280787,9,842,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Kakaurkala",BAGHPAT,-,-,29.173352,77.15018,9,822,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Kalan Bar Devran",LALITPUR,-,-,24.818359,78.50096,9,706,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Kalani Khurad",GORAKHPUR,-,-,26.690605,83.347525,9,827,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Kantit",MIRZAPUR,Mirzapur,-,25.146835,82.5072723,9,805,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Kaparwar",DEORIA,-,-,26.3054039,83.674568,9,807,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Karasdev Mandir",LALITPUR,-,-,25.133382,78.556367,9,788,2026-01-01 00:00:00,2026-09-05 14:51:00,True
"Primary School, Kevtam",SONBHADRA,-,-,24.6300111,83.340011,9,797,2026-01-01 00:00:00,2026-09-05 12:00:00,True
