district,year,class,area_sqkm,pct
CHITRAKOOT,2011-12,"Forest,Scrub Forest",31.73,1.0781515460414544
CHITRAKOOT,2011-12,"Forest,Swamp/Mangroves",0.0,0.0
CHITRAKOOT,2011-12,Grass/Grazing,0.0,0.0
CHITRAKOOT,2011-12,"Barren/Wastelands, Salt Affected",0.48,0.0163098878695209
CHITRAKOOT,2011-12,"Barren/Wastelands, Gullied/Ravinus",6.45,0.21916411824668705
CHITRAKOOT,2011-12,"Barren/Wastelands, Scrub land",102.67,3.488617057424397
CHITRAKOOT,2011-12,"Barren/Wastelands, Sandy area",0.0,0.0
CHITRAKOOT,2011-12,"Barren/Wastelands, Barren rocky",4.71,0.1600407747196738
CHITRAKOOT,2011-12,"Barren/Wastelands, Rann",0.0,0.0
CHITRAKOOT,2011-12,"Wetlands/Water, Inland Wetland",0.76,0.02582398912674142
CHITRAKOOT,2011-12,"Wetlands/Water, Coastal Wetland",0.0,0.0
CHITRAKOOT,2011-12,"Wetlands/Water, River/Stream/Canal",83.26,2.8290859667006454
CHITRAKOOT,2011-12,"Wetlands/Water, Reservoir/Lake/Pond",30.21,1.0265035677879715
CHITRAKOOT,2011-12,Snow and Glacier,0.0,0.0
CHITRAKOOT,2005-06,"Builtup,Urban",39.80236611,1.3524419337410807
CHITRAKOOT,2005-06,"Builtup,Rural",17.84261128,0.6062728943255182
CHITRAKOOT,2005-06,"Builtup,Mining",0.0,0.0
CHITRAKOOT,2005-06,"Agriculture,Crop land",1262.4644,42.89719334012912
CHITRAKOOT,2005-06,"Agriculture,Plantation",3.134733664,0.1065149053346925
CHITRAKOOT,2005-06,"Agriculture,Fallow",393.545252,13.372247774379886
CHITRAKOOT,2005-06,"Agriculture, Shifting Cultivation",0.0,0.0
CHITRAKOOT,2005-06,"Forest,Evergreen/Semi evergreen",0.0,0.0
CHITRAKOOT,2005-06,"Forest,Deciduous",556.7196009,18.916738053007137
CHITRAKOOT,2005-06,"Forest,Forest Plantation",9.286709765,0.31555248946653075
CHITRAKOOT,2005-06,"Forest,Scrub Forest",179.2554084,6.090907522935779
CHITRAKOOT,2005-06,"Forest,Swamp/Mangroves",0.0,0.0
CHITRAKOOT,2005-06,Grass/Grazing,0.0,0.0
CHITRAKOOT,2005-06,"Barren/Wastelands, Salt Affected",0.0,0.0
CHITRAKOOT,2005-06,"Barren/Wastelands, Gullied/Ravinus",57.67001454,1.9595655637104992
CHITRAKOOT,2005-06,"Barren/Wastelands, Scrub land",255.1679312,8.670334053686714
