Station,District,lat,lon,sand_0_30,silt_0_30,clay_0_30,bdod_0_30,sand_60_100,silt_60_100,clay_60_100,bdod_60_100
"Upper Primary School Eng Medium, Hariyabans",SAHARANPUR,29.958322,77.67493,40.65,34.05,25.3,1.346666666666667,37.8,35.2,27.0,1.31
"Uccha Prathmik Vidhyalaya, Sonpur",MIRZAPUR,25.04768,82.993337,26.816666666666666,37.2,35.983333333333334,1.55,28.8,37.9,33.3,1.58
Upper Primary School Pohalli,MEERUT,29.073078,77.642706,35.78333333333333,39.833333333333336,24.4,1.403333333333333,32.9,38.3,28.8,1.44
"Uchha Prathmik Vidhyala, Tadi Mustkil",CHITRAKOOT,25.327113,81.379815,35.016666666666666,38.63333333333333,26.366666666666667,1.4733333333333334,32.4,36.6,30.9,1.53
Upper Primary School Sarahan Bujurg,FATEHPUR,25.994991,80.300108,31.516666666666666,42.03333333333333,26.483333333333334,1.3933333333333333,27.0,40.4,32.6,1.49
Upper Primary School Urouliya,BUDAUN,27.886435,79.208052,42.46666666666667,34.81666666666667,22.75,1.3683333333333332,38.3,32.7,29.1,1.49
Upper Primary School Lehra,ETAH,27.555176,78.460752,48.083333333333336,28.666666666666668,23.25,1.43,45.2,28.6,26.2,1.53
Varansi Badagaon Gajapur,VARANASI,25.393313,82.753267,30.8,39.96666666666667,29.25,1.4683333333333333,28.9,39.7,31.4,1.56
Varansi Chirai Gaon  Gathiya Jairampur,VARANASI,25.446852,83.098802,27.066666666666666,41.93333333333333,30.966666666666665,1.4616666666666667,23.8,39.7,36.5,1.54
Varansi Chirai Gaon Chhahi,VARANASI,25.408162,83.038612,29.083333333333332,40.733333333333334,30.183333333333334,1.44,25.2,39.0,35.7,1.54
Upper Primary School Rijaula,BUDAUN,27.829764,79.271286,42.36666666666667,35.766666666666666,21.866666666666667,1.355,39.1,34.5,26.4,1.44
"Upper Primary School, Khadui",SONBHADRA,24.677459,83.2618895,21.283333333333335,35.85,42.86666666666667,1.6183333333333332,20.7,34.7,44.6,1.67
Varansi Harahua Bhaithauli,VARANASI,25.460597,82.970217,27.55,42.0,30.466666666666665,1.475,24.2,39.7,36.1,1.56
Varansi Harahua Gurwat,VARANASI,25.457824,82.980965,28.983333333333334,42.2,28.833333333333332,1.46,25.7,40.7,33.5,1.55
Varansi Harahua Kakalpur,VARANASI,25.316392,82.832559,29.883333333333333,39.95,30.166666666666668,1.4816666666666665,28.2,39.0,32.8,1.57
Varansi Cholapur Chaubepur,VARANASI,25.446828,83.098698,27.066666666666666,41.93333333333333,30.966666666666665,1.4616666666666667,23.8,39.7,36.5,1.54
Varansi Harahua Shivrampur,VARANASI,25.426629,83.073133,28.05,41.766666666666666,30.183333333333334,1.4466666666666665,24.7,39.1,36.2,1.53
Varansi Harahua Sulemapur,VARANASI,25.451127,83.001113,29.266666666666666,41.25,29.483333333333334,1.4549999999999998,26.7,39.9,33.5,1.55
Varansi Cholapur Munari,VARANASI,25.449407,83.048723,27.85,41.86666666666667,30.25,1.4549999999999998,25.2,39.8,35.0,1.55
Varansi Pindara Gajendra,VARANASI,25.47852,82.896599,28.133333333333333,41.083333333333336,30.75,1.4916666666666667,25.5,38.8,35.7,1.58
"Vikash Khand Parisar, Itwa",SIDDHARTHNAGAR,27.3219006,82.6936559,30.883333333333333,43.55,25.533333333333335,1.365,28.9,43.9,27.1,1.46
Varansi Pindara Molanapur,VARANASI,25.471412,83.132893,27.116666666666667,42.733333333333334,30.15,1.3266666666666669,24.1,40.0,35.9,1.47
primary school jalalpura,SAHARANPUR,29.936939,77.393186,37.78333333333333,34.18333333333333,28.033333333333335,1.3816666666666668,37.3,33.9,28.8,1.43
primary school Chaura khurd,SAHARANPUR,29.95975,77.728576,40.46666666666667,36.13333333333333,23.4,1.3233333333333335,37.6,35.5,26.8,1.29
primary school kapasi,SAHARANPUR,29.913094,77.618469,39.35,34.266666666666666,26.383333333333333,1.3666666666666667,37.4,34.2,28.4,1.36
